R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.663988189,3.860551884,4.028163187,4.10732652,4.545305183,4.524009643,4,58.07,0.73,85.912
3.68078587,3.904406248,4.060135357,4.141248019,4.550044857,4.528866054,4,62.65,0.71,83.3277
3.684379066,3.906043562,4.059239313,4.136184861,4.545367431,4.520319382,4,60.7,0.75,86.3527
3.685808062,3.887867111,4.050175581,4.131758625,4.529582378,4.501114113,4,58.8,0.8,89.7313
3.688297524,3.89797301,4.054297396,4.129543692,4.520640408,4.494864896,4,59,0.73,85.6405
3.695565252,3.90941561,4.057402456,4.137680175,4.548145318,4.518422116,4,60.66,0.7,83.2849
3.699269284,3.899575472,4.046897869,4.121406873,4.533320608,4.503021542,4,61.56,0.8,89.0024
3.708280571,3.948808293,4.081178226,4.173728712,4.554794274,4.554654279,4,59.33,0.78,88.4725
3.708619094,3.86634599,4.030627785,4.11108804,4.528898029,4.50861172,4,59.39,0.78,88.4562
3.713665814,3.911495521,4.052281012,4.13600508,4.537749215,4.523930093,4,59.77,0.78,88.353
3.723041461,3.887440861,4.025220794,4.105240496,4.541957663,4.524772579,4,63.53,0.82,89.6051
3.749190622,3.919094341,4.035762532,4.121251858,4.513724058,4.498068296,4,61.63,0.74,85.489
3.792196176,3.931709387,4.058380459,4.138723833,4.549293433,4.528189122,4,60.16,0.84,91.5351
3.82446725,3.931158851,4.073736281,4.143904805,4.557839225,4.529573357,4,60.61,0.77,87.5507
3.615359842,3.802976352,3.994147516,4.072406982,4.540752211,4.513006532,5,61.81,0.72,84.20592
3.67994314,3.863458585,4.026904596,4.112672148,4.51601957,4.496986184,5,59.87,0.73,85.38748
3.681026343,3.795136228,3.965205653,4.040150217,4.490569956,4.457714583,5,58.24,0.66,81.43422
3.705676243,3.830708996,3.992831671,4.060447023,4.506069732,4.468892021,5,58.38,0.74,86.41919
3.714000208,3.835953165,4.018804931,4.091813193,4.527603925,4.495884418,5,59.24,0.8,89.61451
3.743710829,3.89791357,4.044201255,4.123355142,4.537179082,4.511797485,5,60.76,0.72,84.51352
3.744022841,3.877083904,4.016272078,4.093535155,4.514846658,4.48961062,5,62.54,0.61,76.47102
3.745165059,3.858538079,4.029752166,4.103015085,4.5410539,4.508990649,5,57.79,0.74,86.58936
3.747234083,3.847191963,4.002626859,4.069552516,4.511833169,4.482422866,5,59.59,0.7,83.60894
3.75622264,3.84759278,4.017089368,4.088181406,4.545043819,4.509402139,5,58.07,0.74,86.50855
3.762046802,3.879944374,4.057480783,4.132333278,4.57153533,4.532968051,5,60.29,0.82,90.43309
3.767892296,3.857625568,4.018804931,4.090217638,4.543484748,4.509829655,5,59.61,0.75,86.66025
3.776660331,3.8744556,4.034855963,4.113241004,4.542271025,4.517938406,5,59.17,0.65,80.45793
3.792382249,3.872694509,4.025009844,4.087210045,4.528833425,4.488040873,5,60,0.72,84.7369
3.630879368,3.847859806,4.016745457,4.097581225,4.550881025,4.536058043,6,63.14,0.67,80.5457
3.652973577,3.80900222,3.987344044,4.070912468,4.544657674,4.525930217,6,61.22,0.63,78.3824
3.678010789,3.864230448,4.026652423,4.105529943,4.524612728,4.501683855,6,59.5,0.74,86.0973
3.678736428,3.815233423,3.990005028,4.062617161,4.525681501,4.483838546,6,59.25,0.6,76.8831
3.683304203,3.815664865,4.005637537,4.081947021,4.537001565,4.503705506,6,60,0.68,82.1952
3.700879875,3.876646933,4.028749281,4.10084321,4.539959322,4.509911831,6,61.51,0.78,87.8823
3.746097338,3.872757531,4.031584782,4.104080844,4.562707858,4.531641498,6,59.16,0.66,81.137
3.747130883,3.876021981,4.041203295,4.107134384,4.555973545,4.516273673,6,58.86,0.6,77.0218
3.764533308,3.893850801,4.053389213,4.123910184,4.558962029,4.525327999,6,58.86,0.68,82.5517
3.781360627,3.893370321,4.047899788,4.12035176,4.543447229,4.515787616,6,60.9,0.71,83.847
3.789489098,3.891865384,4.03887987,4.11184915,4.534406503,4.500644314,6,58.59,0.64,79.9647
3.80412808,3.880687511,4.022385716,4.091481268,4.527318687,4.489335035,6,58.74,0.58,75.5661
3.813974437,3.877146264,4.024714381,4.094953936,4.552842057,4.524152818,6,58.34,0.68,82.7147
3.900585187,3.917732944,4.051844843,4.121716704,4.569292234,4.539371947,6,58.88,0.52,70.6754
3.641540676,3.794004572,4.003514511,4.083437913,4.554745565,4.518341535,7,58.7,0.58,75.5808
3.687706061,3.817314669,4.016745457,4.097188144,4.543534688,4.511732036,7,59.88,0.62,78.1211
3.691125284,3.769531906,3.960041805,4.032420703,4.513911372,4.480281829,7,61.73,0.65,79.6223
3.691712068,3.789295476,3.980432294,4.053653471,4.502486705,4.460503809,7,59.11,0.68,82.4734
3.694867215,3.818601473,4.0190617,4.097122596,4.568042365,4.533762082,7,58.44,0.65,80.6974
3.698115164,3.784225836,3.979027253,4.056506037,4.504582671,4.470820171,7,58.69,0.69,83.2484
3.712772891,3.829875168,4.014589688,4.092575674,4.544483188,4.514505002,7,59.04,0.73,85.6289
3.716444445,3.830014229,4.025305145,4.103435219,4.563853915,4.530107008,7,58.19,0.64,80.0982
3.738898064,3.824063452,4.012987533,4.091182303,4.546373997,4.512222651,7,59.04,0.6,76.9578
3.742251712,3.876021981,4.024883224,4.111912513,4.531949779,4.522862798,7,60,0.69,82.8447
3.745476029,3.869150786,4.02812129,4.104693252,4.527720554,4.498000745,7,60.49,0.64,79.3329
3.747955951,3.817600937,4.004444602,4.076756855,4.524077354,4.483349699,7,57.18,0.67,82.4336
3.751649483,3.846188284,4.010420424,4.086001131,4.524782358,4.496359365,7,58.14,0.61,78.0049
3.761847264,3.843837285,4.026316005,4.10016022,4.545417155,4.515333433,7,60.32,0.6,76.5032
3.765622904,3.830014229,3.994373956,4.070145849,4.529750078,4.508166498,7,58.76,0.67,81.9295
3.767596976,3.818244392,3.996451941,4.069657295,4.544807218,4.510371717,7,59.53,0.67,81.6849
3.79358977,3.865513837,4.039084191,4.10863719,4.53048455,4.495408952,7,60,0.6,76.6167
3.801676753,3.859253726,4.034855963,4.112007524,4.553208752,4.523325093,7,58.32,0.72,85.233
3.61437994,3.81067748,3.969446491,4.047083079,4.49435016,4.470766235,8,60.15,0.55,72.6691
3.616337488,3.796490349,3.950278644,4.034129256,4.443493126,4.426168053,8,59.47,0.58,75.2973
3.628850871,3.803124331,3.954170545,4.036057523,4.48164333,4.457288172,8,58.66,0.56,74.0446
3.636242712,3.809512763,3.98973053,4.073654245,4.538166854,4.515528155,8,60.39,0.68,82.0736
3.637440426,3.803050348,3.968245926,4.042646949,4.471527748,4.445556377,8,60.3,0.6,76.5103
3.65718447,3.807540181,3.972790551,4.048221761,4.486257892,4.46169899,8,57.55,0.53,72.0579
3.671793426,3.799559049,3.964090411,4.035717846,4.468048327,4.438311705,8,58.65,0.53,71.6132
3.680063649,3.85058725,4.016099853,4.090949662,4.530780561,4.501382326,8,59.2,0.51,69.6794
3.682825641,3.837732786,4.00089062,4.072823135,4.535413301,4.49985463,8,58.37,0.62,78.6404
3.685451232,3.884997228,4.026147679,4.113367315,4.526539828,4.510174667,8,59.42,0.6,76.8227
3.710307886,3.873387223,4.026820555,4.0981375,4.534495802,4.506414096,8,62.23,0.57,73.4926
3.720634174,3.869912579,4.040104279,4.118608372,4.556980086,4.530154056,8,60,0.67,81.5359
3.723695684,3.883893085,4.039818913,4.108541439,4.523998933,4.490779937,8,54.64,0.68,83.8841
3.727924262,3.881552877,4.049099065,4.123632736,4.549576949,4.516743031,8,58.81,0.62,78.4889
3.742981864,3.815592988,3.95714079,4.026637944,4.519783504,4.484413988,8,60.26,0.65,80.1014
3.748573725,3.90452341,4.051011014,4.124526067,4.534623326,4.508446887,8,60.86,0.66,80.59
3.765820715,3.863780374,4.023530438,4.09676192,4.547365824,4.514505002,8,59.44,0.58,75.3084
