R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.724131246,3.862039963,4.052241379,4.124741435,4.556349716,4.535562652,4,62.65,0.71,83.3277
3.725109776,3.877271015,4.075092064,4.142607977,4.550254062,4.5232295,4,60.7,0.75,86.3527
3.728355645,3.835884569,4.06122372,4.144962973,4.566848086,4.547027523,4,59,0.73,85.6405
3.728463404,3.944716403,4.093533172,4.166441562,4.554258266,4.537741248,4,63.53,0.82,89.6051
3.729001918,3.934724752,4.104949991,4.172187282,4.531808654,4.519017908,4,60.66,0.7,83.2849
3.729539725,3.865129201,4.085494817,4.155348019,4.536862023,4.516257499,4,59.76,0.72,84.8076
3.730506158,3.917619293,4.085678347,4.150940075,4.532757414,4.509484369,4,60.48,0.82,90.3842
3.730613385,3.899575472,4.124175761,4.169087938,4.458428676,4.412792265,4,59.77,0.78,88.353
3.730720625,3.880501839,4.049498076,4.114313513,4.530317134,4.503555481,4,61.56,0.85,91.7133
3.730720625,3.909878671,4.096263451,4.168643368,4.541506017,4.526136058,4,59.59,0.87,93.2286
3.731149241,3.954274505,4.105581364,4.168976838,4.540525819,4.518196431,4,59.33,0.78,88.4725
3.731256309,3.90854604,4.081289419,4.148238721,4.560442619,4.539095466,4,62.21,0.8,88.832
3.733072796,3.904347682,4.093785349,4.161919529,4.552279138,4.531297507,4,61.63,0.74,85.489
3.733605588,3.886770249,4.093244752,4.15854662,4.55716171,4.527653107,4,59.39,0.78,88.4562
3.734563026,3.808198704,4.009940138,4.081029597,4.54203286,4.511126131,4,60.61,0.77,87.5507
3.735730324,3.880687511,4.079915723,4.148326108,4.565199129,4.544121213,4,60.16,0.84,91.5351
3.73710583,3.934997831,4.091836056,4.158176578,4.540626474,4.524931306,5,58.38,0.74,86.41919
3.73763374,3.929945308,4.091039397,4.156978822,4.524299395,4.511519252,5,59.87,0.61,77.39987
3.73816097,3.924441833,4.107853817,4.165490522,4.547774321,4.512794371,5,58.76,0.76,87.48425
3.738266363,3.810532053,3.985545491,4.05052668,4.512960661,4.484849423,5,57.14,0.69,83.72848
3.738898064,3.880316088,4.053705307,4.116701279,4.529272611,4.503505435,5,60.29,0.82,90.43309
3.738898064,3.899279178,4.047218721,4.112007524,4.504049383,4.482790343,5,59.87,0.73,85.38748
3.739108428,3.909125955,4.073094613,4.139408278,4.52459965,4.509846097,5,58.24,0.66,81.43422
3.740787677,3.863716035,4.040511636,4.107742538,4.559937609,4.53027951,5,57.79,0.74,86.58936
3.741624873,3.900817764,4.116142784,4.180381754,4.558129278,4.529981505,5,59.59,0.7,83.60894
3.741624873,3.938965502,4.10184987,4.161128267,4.502610278,4.482982696,5,60,0.78,88.29057
3.741938386,3.823216754,4.024756608,4.094492488,4.546932193,4.522208346,5,60,0.72,84.7369
3.742042866,3.907732872,4.095295444,4.166385676,4.572237552,4.548698894,5,59.17,0.65,80.45793
3.742564774,3.823428599,4.009065535,4.075484017,4.547365824,4.512908614,5,57.96,0.73,85.94413
3.742773369,3.878018736,4.079171385,4.137142466,4.579175301,4.543421987,6,59.25,0.6,76.8831
3.74568323,3.904289081,4.108062963,4.174689332,4.578979578,4.557770896,6,61.22,0.63,78.3824
3.746407679,3.90866209,4.078276443,4.141603193,4.542834517,4.514716329,6,61.75,0.6,75.997
3.746407679,3.928007573,4.116723971,4.182837169,4.550401644,4.515528155,6,60.45,0.52,70.0296
3.746614437,3.85230802,4.047979849,4.11957431,4.504582671,4.494456427,6,59.5,0.74,86.0973
3.747543613,3.928340384,4.121075094,4.186534442,4.574372462,4.551858387,6,58.74,0.73,85.7163
3.748367898,3.902586296,4.077865663,4.147305298,4.546150517,4.524168701,6,61.51,0.78,87.8823
3.748367898,3.886526113,4.05697144,4.119138339,4.483210904,4.46387856,6,58.86,0.6,77.0218
3.748676583,3.924441833,4.111707115,4.178429156,4.522231079,4.501281752,6,60.4,0.75,86.4372
3.749293334,3.856056775,4.063430891,4.1304553,4.560334456,4.53114104,6,62.14,0.66,80.1799
3.7496014,3.910341239,4.100717071,4.166385676,4.546622178,4.524518433,6,58.74,0.58,75.5661
3.749806644,3.879820389,4.042380637,4.103532135,4.525733582,4.487210593,6,58.86,0.68,82.5517
3.749806644,3.895169379,4.096155994,4.161043389,4.580932679,4.555661094,6,58.59,0.64,79.9647
3.749806644,3.912761677,4.093280815,4.153653522,4.532116568,4.513577195,6,60.9,0.71,83.847
3.750114309,3.81853008,4.011292346,4.075449582,4.520139652,4.489403948,6,58.88,0.52,70.6754
3.75031931,3.933794984,4.091582744,4.156921705,4.564675818,4.538080223,6,58.34,0.68,82.7147
3.750421793,3.87570914,4.049896721,4.113556713,4.55456288,4.521456973,7,58.14,0.61,78.0049
3.750729022,3.968455996,4.129549232,4.199362103,4.575801477,4.557667843,7,57.18,0.67,82.4336
3.750933734,3.934068649,4.125717848,4.186987743,4.555548381,4.531907163,7,59.11,0.68,82.4734
3.751138348,3.88377025,4.041609624,4.104918681,4.560466657,4.528708708,7,58.32,0.72,85.233
3.751342867,3.937936321,4.105441156,4.17326135,4.55010643,4.528897527,7,59.88,0.62,78.1211
3.751955846,3.952809606,4.116689803,4.182298716,4.581459633,4.560119355,7,58.44,0.65,80.6974
3.753281024,3.870229623,4.039288415,4.107838465,4.546187755,4.521328945,7,58.7,0.58,75.5808
3.753484536,3.874894752,4.062464207,4.130242778,4.574535345,4.544045263,7,58.19,0.64,80.0982
3.753586238,3.913852228,4.09056795,4.153106415,4.574860927,4.548277874,7,59.53,0.67,81.6849
3.75510921,3.932149265,4.115389493,4.181705617,4.541669128,4.521856799,7,58.69,0.69,83.2484
3.755514431,3.870989527,4.06578064,4.140002616,4.547440138,4.527763483,7,58.65,0.68,82.6175
3.755615659,3.953071551,4.115937462,4.172545609,4.541568763,4.514716329,7,58.76,0.67,81.9295
3.756020407,3.808418002,3.999281803,4.064211164,4.52234916,4.489817194,7,60,0.69,82.8447
3.756424779,3.888110467,4.076780809,4.142814535,4.546436043,4.51814807,7,60.49,0.64,79.3329
3.756424779,3.940801162,4.097086341,4.160703768,4.562349053,4.536058043,7,59.04,0.73,85.6289
3.756929734,3.869912579,4.075768336,4.140418147,4.563149917,4.527005839,7,61.19,0.64,79.101
3.757736411,3.958588144,4.113397336,4.165602517,4.511940672,4.477103526,8,59.2,0.51,69.6794
3.759144466,3.878018736,4.086851005,4.156693161,4.584039414,4.555779393,8,59.47,0.58,75.2973
3.759345249,3.949548187,4.110738323,4.175292056,4.580095054,4.553496459,8,58.81,0.62,78.4889
3.75954594,3.793853452,4.013161038,4.078778821,4.521048499,4.492425386,8,58.37,0.62,78.6404
3.760247648,3.890718126,4.08302817,4.151692292,4.55165424,4.527700422,8,60,0.67,81.5359
3.760347778,3.921804501,4.083212746,4.142283149,4.53764794,4.510535821,8,62.23,0.57,73.4926
3.761248098,3.924553713,4.092631256,4.154401058,4.513790975,4.496782993,8,59.42,0.6,76.8227
3.761447912,3.882293242,4.081919136,4.152760529,4.555597001,4.533902028,8,58.66,0.56,74.0446
3.761547766,3.881676368,4.079618148,4.151432071,4.569186252,4.544576588,8,59.7,0.57,74.4373
3.762146518,3.916139218,4.061805655,4.127042126,4.493916208,4.478854489,8,57.55,0.53,72.0579
3.762146518,3.878889431,4.052914584,4.119356396,4.572050401,4.538695797,8,60.86,0.66,80.59
3.762445604,3.848659841,4.069491117,4.137112558,4.551040653,4.526183538,8,58.65,0.53,71.6132
3.762644867,3.923545805,4.091329251,4.154401058,4.504213529,4.48566687,8,60.26,0.65,80.1014
3.762644867,3.940100243,4.100646166,4.169587536,4.544981573,4.52680041,8,59.12,0.55,73.069
3.76284404,3.813936586,4.021875985,4.093039128,4.555268785,4.526452562,8,56.92,0.64,80.5231
3.763242111,3.893730724,4.048619721,4.115823103,4.56221747,4.538264962,9,59.78,0.47,65.7744
3.763639817,3.970976282,4.119244771,4.183616757,4.559335668,4.54177595,9,57.92,0.5,69.3463
3.763739168,3.885425854,4.046857741,4.10863719,4.548231837,4.515771371,9,57.84,0.38,57.2976
3.763739169,3.878392101,4.086338346,4.152789378,4.559949665,4.534290614,9,60.37,0.53,70.9193
3.763838534,3.882909268,4.062967153,4.11863955,4.539316381,4.499736873,9,59.22,0.48,66.9693
3.764434139,3.880996761,4.073924847,4.141514442,4.555767078,4.53225067,9,59.13,0.56,73.8652
3.764731617,3.880068323,4.052835466,4.115068963,4.562289239,4.535996175,9,54.74,0.46,67.1619
3.764929835,3.983216291,4.13021214,4.200681086,4.54018601,4.535841391,9,59.39,0.5,68.7162
3.765028928,3.927841097,4.117338469,4.180192317,4.543934342,4.510289628,9,59.68,0.6,76.7303
3.76522701,3.964749872,4.121142741,4.18240646,4.5575611,4.533575367,9,61.43,0.52,69.627
3.76522701,3.971327954,4.124041431,4.182594934,4.5575611,4.534212925,9,59.76,0.78,88.3557
3.76522701,3.895049666,4.059707046,4.126276572,4.577549422,4.5462574,9,58.74,0.51,69.8726
3.766413609,3.929945308,4.112811676,4.180408826,4.572073805,4.550348905,9,58.19,0.45,64.58
3.766808424,3.856711135,4.047058305,4.110961064,4.542145678,4.5133001,9,58.28,0.6,77.2283
3.767498467,3.892227037,4.094145362,4.161411026,4.583378836,4.557314392,10,60,0.55,72.7273
3.767695426,3.88750178,4.083802791,4.153048787,4.564056574,4.536521947,10,59.26,0.42,60.9821
3.768089077,3.927007658,4.108272041,4.172710885,4.540362229,4.505120077,10,57.29,0.52,71.3307
3.768580622,3.868387626,4.053863286,4.121530831,4.542821976,4.515008744,10,56.93,0.43,63.2005
3.768678885,3.879634374,4.034567087,4.095381936,4.547996967,4.513691258,10,57.56,0.41,60.7946
3.768973471,3.902939135,4.100504323,4.16616206,4.527966647,4.505717789,10,58.59,0.56,74.0714
3.769464052,3.859188713,4.050454225,4.114124445,4.569445283,4.537263234,10,58.95,0.5,68.9047
3.76956208,3.942253389,4.084833499,4.147976392,4.544109048,4.522479842,10,58.58,0.45,64.3939
3.769954044,3.946846887,4.09658563,4.158831093,4.541116712,4.515674101,10,59.14,0.41,59.9654
3.770443518,3.909125955,4.112915091,4.171580231,4.539051387,4.500190844,10,56.42,0.45,65.4248
3.770834687,3.865000913,4.059473224,4.122706679,4.578011289,4.54085882,10,57.88,0.44,63.7384
3.77103014,3.873513029,4.033864769,4.10084321,4.50925856,4.48117814,10,59.52,0.52,70.412
3.771127815,3.895169379,4.093244752,4.160363882,4.545056296,4.525676748,10,58.04,0.46,65.6208
3.77142078,3.891865384,4.063932755,4.127439689,4.550475441,4.526926835,11,57.93,0.52,71.0668
3.771420781,3.924106071,4.082769632,4.146983996,4.563042426,4.532562751,11,58.19,0.47,66.5004
3.77190857,3.911610786,4.101673082,4.172021806,4.578541798,4.558035744,11,58.36,0.5,69.1576
3.77190857,3.905342604,4.101531574,4.175784572,4.559877462,4.544864748,11,57.93,0.45,64.7041
3.77190857,3.860875803,4.057089042,4.126399149,4.553013217,4.525708452,11,57.4,0.53,72.1186
3.77220101,3.91790334,4.100433384,4.168198342,4.576473717,4.551216386,11,59.36,0.48,66.9068
3.772493218,3.915511493,4.081882117,4.14181026,4.56410425,4.534026404,11,58.38,0.42,61.433
3.772687925,3.941662322,4.095367227,4.15772069,4.559444081,4.531704039,11,58.29,0.57,74.9658
3.773077078,3.876584501,4.079878533,4.149547934,4.57236618,4.548774035,11,59.84,0.57,74.385
3.773465884,3.895049666,4.067505947,4.13130441,4.567652502,4.534756409,11,59.24,0.5,68.7804
3.773563049,3.905576391,4.104598827,4.171055261,4.550954692,4.517405765,11,58,0.52,71.0379
3.773563049,3.888839773,4.052082808,4.113588288,4.549971036,4.518583232,11,60.78,0.46,64.3418
3.773854341,3.9344515,4.084281636,4.146223542,4.543859426,4.52279897,11,57.44,0.52,71.2689
3.774145474,3.929337238,4.104423123,4.174387642,4.560682892,4.539049376,11,58.99,0.49,67.9893
3.775404705,3.914138748,4.111776237,4.181246793,4.591330131,4.56734885,11,59.87,0.52,70.2681
3.775694801,3.912071514,4.078201813,4.144404832,4.575453377,4.548232749,11,59.68,0.52,70.3462
3.775791433,3.974430415,4.116074354,4.184662961,4.523724422,4.514179693,11,58.19,0.5,69.2305
3.776660331,3.87570914,4.074301699,4.134142947,4.55469685,4.525185211,11,56.36,0.47,67.3364
