0.02,0.01,0.02,0.01,0.02,0.02,0.06,0.06,0.12,0.1,0.1,0.09,0.19,92
0.02,0.01,0.02,0.01,0.02,0.02,0.05,0.06,0.12,0.1,0.1,0.09,0.19,92
0.02,0.01,0.02,0.01,0.02,0.02,0.05,0.06,0.12,0.1,0.11,0.09,0.19,92
0.02,0.01,0.02,0.01,0.02,0.02,0.05,0.06,0.12,0.1,0.11,0.09,0.2,92
0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.16,0.11,0.11,0.07,0.2,96
0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.15,0.1,0.11,0.07,0.19,96
0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.15,0.1,0.1,0.06,0.19,96
0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.14,0.1,0.1,0.06,0.19,96
0.02,0.01,0.02,0.01,0.02,0.01,0.05,0.07,0.14,0.13,0.12,0.11,0.23,96
0.02,0.01,0.02,0.01,0.02,0.02,0.05,0.07,0.14,0.12,0.12,0.11,0.22,96
0.02,0.01,0.02,0.01,0.02,0.02,0.04,0.06,0.13,0.12,0.11,0.1,0.2,96
0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.11,0.1,0.1,0.09,0.22,97
0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.11,0.1,0.1,0.09,0.23,97
0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.11,0.1,0.1,0.09,0.23,97
0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.12,0.1,0.11,0.09,0.23,97
0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.15,0.11,0.11,0.07,0.21,97
0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.14,0.09,0.09,0.06,0.2,97
0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.13,0.09,0.09,0.06,0.2,97
0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.13,0.09,0.09,0.06,0.19,97
0.01,0.01,0.02,0.01,0.02,0.01,0.05,0.05,0.12,0.08,0.08,0.06,0.16,97
0.02,0.01,0.02,0.01,0.02,0.01,0.05,0.05,0.14,0.09,0.09,0.07,0.16,97
0.02,0.01,0.02,0.01,0.02,0.01,0.05,0.05,0.14,0.09,0.1,0.07,0.18,97
0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.09,0.09,0.09,0.06,0.16,98
0.02,0.01,0.02,0.01,0.02,0.01,0.05,0.06,0.15,0.11,0.11,0.09,0.21,99
0.02,0.01,0.02,0.01,0.02,0.02,0.05,0.06,0.16,0.12,0.12,0.1,0.25,99
